2026-05-13 15:08:04 | payment_webhook_service.py | INFO | Webhook request received
2026-05-13 15:08:04 | payment_webhook_service.py | INFO | Verifying webhook signature
2026-05-13 15:08:04 | payment_webhook_service.py | INFO | Webhook signature verified
2026-05-13 15:08:04 | payment_webhook_service.py | INFO | Checking duplicate webhook for event_id=evt_auth_020
2026-05-13 15:08:04 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_020
2026-05-13 15:40:22 | payment_webhook_service.py | INFO | Webhook request received
2026-05-13 15:40:22 | payment_webhook_service.py | INFO | Verifying webhook signature
2026-05-13 15:40:22 | payment_webhook_service.py | INFO | Webhook signature verified
2026-05-13 15:40:22 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_020
2026-05-13 15:40:22 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_020
2026-05-13 15:40:25 | payment_webhook_service.py | INFO | Webhook request received
2026-05-13 15:40:25 | payment_webhook_service.py | INFO | Verifying webhook signature
2026-05-13 15:40:25 | payment_webhook_service.py | INFO | Webhook signature verified
2026-05-13 15:40:25 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_020
2026-05-13 15:40:25 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_020
2026-05-13 15:44:03 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_020
2026-05-13 15:44:03 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_020
2026-05-13 15:44:03 | payment_webhook_service.py | WARNING | Duplicate skipped event_id=evt_auth_020
2026-05-13 15:44:03 | payment_webhook_service.py | INFO | Bulk webhook processing completed success=0 issues=1
2026-05-13 15:44:12 | payment_webhook_service.py | INFO | Webhook request received
2026-05-13 15:44:12 | payment_webhook_service.py | INFO | Verifying webhook signature
2026-05-13 15:44:12 | payment_webhook_service.py | INFO | Webhook signature verified
2026-05-13 15:44:12 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_020
2026-05-13 15:44:12 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_020
2026-05-13 15:44:16 | payment_webhook_service.py | INFO | Webhook request received
2026-05-13 15:44:16 | payment_webhook_service.py | INFO | Verifying webhook signature
2026-05-13 15:44:16 | payment_webhook_service.py | INFO | Webhook signature verified
2026-05-13 15:44:16 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_020
2026-05-13 15:44:16 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_020
2026-05-13 15:44:23 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_020
2026-05-13 15:44:23 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_020
2026-05-13 15:44:23 | payment_webhook_service.py | WARNING | Duplicate skipped event_id=evt_auth_020
2026-05-13 15:44:23 | payment_webhook_service.py | INFO | Bulk webhook processing completed success=0 issues=1
2026-05-13 16:00:08 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_001
2026-05-13 16:00:08 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_001
2026-05-13 16:00:08 | payment_webhook_service.py | WARNING | Duplicate skipped event_id=evt_auth_001
2026-05-13 16:00:08 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_002
2026-05-13 16:00:08 | payment_webhook_service.py | INFO | Parsing webhook payload event_id=evt_auth_002
2026-05-13 16:00:08 | payment_webhook_service.py | INFO | Saving webhook event event_id=evt_auth_002
2026-05-13 16:00:08 | payment_webhook_service.py | INFO | Webhook processed successfully event_id=evt_auth_002
2026-05-13 16:00:08 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_003
2026-05-13 16:00:08 | payment_webhook_service.py | INFO | Parsing webhook payload event_id=evt_auth_003
2026-05-13 16:00:08 | payment_webhook_service.py | INFO | Saving webhook event event_id=evt_auth_003
2026-05-13 16:00:08 | payment_webhook_service.py | INFO | Webhook processed successfully event_id=evt_auth_003
